x,y
2021-10-18 02:10:55.865402, 65.244
2021-10-18 02:11:00.872384, 63.783
2021-10-18 02:11:41.894188, 64.757
2021-10-18 02:11:46.902352, 63.296
2021-10-18 02:11:51.910492, 64.757
2021-10-18 02:16:38.754154, 63.296
2021-10-18 02:16:43.764091, 62.322
2021-10-18 02:16:48.773567, 63.296
2021-10-18 02:16:53.781993, 62.322
2021-10-18 02:16:58.789909, 62.322
2021-10-18 02:17:03.797792, 62.809
2021-10-18 02:17:08.805919, 61.835
2021-10-18 02:17:13.814326, 61.835
2021-10-18 02:17:18.820217, 62.322
2021-10-18 02:17:23.827544, 62.322
2021-10-18 02:17:28.835349, 62.322
2021-10-18 02:17:33.842887, 62.322
2021-10-18 02:17:38.851358, 61.835
2021-10-18 02:17:43.857700, 62.322
2021-10-18 02:17:48.866252, 62.322
2021-10-18 02:17:53.874721, 62.809
2021-10-18 02:17:58.882500, 60.861
2021-10-18 02:18:03.890935, 62.809
2021-10-18 02:18:08.894886, 62.322
2021-10-18 02:18:13.901507, 62.322
2021-10-18 02:18:18.909492, 62.809
2021-10-18 02:18:23.919349, 63.296
2021-10-18 02:18:28.928986, 62.809
2021-10-18 02:18:33.936009, 61.835
2021-10-18 02:18:38.948583, 62.322
2021-10-18 02:18:43.957061, 61.835
2021-10-18 02:18:48.962143, 62.809
2021-10-18 02:18:53.970770, 60.861
2021-10-18 02:18:58.981021, 62.322
2021-10-18 02:19:03.991690, 61.835
2021-10-18 02:19:08.998810, 62.809
2021-10-18 02:19:14.007696, 61.348
2021-10-18 02:19:19.016166, 62.322
2021-10-18 02:19:24.024646, 62.322
2021-10-18 02:19:29.032941, 61.348
2021-10-18 02:19:34.041256, 61.835
2021-10-18 02:19:39.051097, 62.809
2021-10-18 02:19:44.061288, 62.809
2021-10-18 02:19:49.072329, 61.835
2021-10-18 02:19:54.084773, 61.835
2021-10-18 02:19:59.094944, 61.835
2021-10-18 02:20:04.105112, 62.322
2021-10-18 02:20:09.110459, 62.322
2021-10-18 02:20:14.118841, 61.835
2021-10-18 02:20:19.126025, 61.835
2021-10-18 02:20:24.134114, 62.322
2021-10-18 02:20:29.138245, 61.835
2021-10-18 02:20:34.151741, 62.322
2021-10-18 02:20:39.161948, 62.322
2021-10-18 02:20:44.171578, 63.296
2021-10-18 02:21:33.938301, 48.199
2021-10-18 02:21:34.943042, 47.712
2021-10-18 02:21:35.946839, 47.225
2021-10-18 02:21:36.949694, 48.199
2021-10-18 02:21:37.952417, 46.738
2021-10-18 02:21:38.955214, 47.712
2021-10-18 02:21:39.958235, 48.199
2021-10-18 02:21:40.961686, 50.634
2021-10-18 02:21:41.964698, 50.634
2021-10-18 02:21:42.968005, 50.147
2021-10-18 02:21:43.970685, 49.66
2021-10-18 02:21:44.973759, 50.147
2021-10-18 02:21:45.976377, 49.66
2021-10-18 02:21:46.979700, 50.634
2021-10-18 02:21:47.983026, 51.121
2021-10-18 02:21:48.985180, 52.582
2021-10-18 02:21:49.988335, 51.608
2021-10-18 02:22:09.101842, 51.121
2021-10-18 02:22:10.105660, 51.608
2021-10-18 02:22:11.110051, 51.121
2021-10-18 02:22:12.112988, 52.582
2021-10-18 02:22:13.117544, 51.608
2021-10-18 02:22:14.120736, 51.608
2021-10-18 02:22:15.122804, 53.069
2021-10-18 02:22:16.125759, 52.582
2021-10-18 02:22:17.128673, 53.069
2021-10-18 02:22:18.132234, 54.043
2021-10-18 02:22:19.136385, 52.582
2021-10-18 02:22:20.140195, 52.582
2021-10-18 02:22:21.143322, 52.095
2021-10-18 02:22:22.146564, 51.608
2021-10-18 02:22:23.149838, 52.095
2021-10-18 02:22:24.153881, 52.095
